,Item,Category,Description,Price,Size,Crust,calories
0,The Unthinkable Pizza,Best Sellers,Loaded with Plant Based Protein topping along with Black Olives & Red Paprika enjoy this unique 100% Vegetarian pizza with a 100% Chicken like taste!,699,Large,New Hand Tossed,9
1,The Unthinkable Pizza,Best Sellers,Loaded with Plant Based Protein topping along with Black Olives & Red Paprika enjoy this unique 100% Vegetarian pizza with a 100% Chicken like taste!,459,Medium,New Hand Tossed,6
2,The Unthinkable Pizza,Best Sellers,Loaded with Plant Based Protein topping along with Black Olives & Red Paprika enjoy this unique 100% Vegetarian pizza with a 100% Chicken like taste!,509,Medium,100% Wheat Thin Crust,5
3,The Unthinkable Pizza,Best Sellers,Loaded with Plant Based Protein topping along with Black Olives & Red Paprika enjoy this unique 100% Vegetarian pizza with a 100% Chicken like taste!,558,Medium,Cheese Burst,10
4,The Unthinkable Pizza,Best Sellers,Loaded with Plant Based Protein topping along with Black Olives & Red Paprika enjoy this unique 100% Vegetarian pizza with a 100% Chicken like taste!,499,Medium,Fresh Pan Pizza,7
5,The Unthinkable Pizza,Best Sellers,Loaded with Plant Based Protein topping along with Black Olives & Red Paprika enjoy this unique 100% Vegetarian pizza with a 100% Chicken like taste!,249,Regular,New Hand Tossed,2
6,The Unthinkable Pizza,Best Sellers,Loaded with Plant Based Protein topping along with Black Olives & Red Paprika enjoy this unique 100% Vegetarian pizza with a 100% Chicken like taste!,279,Regular,100% Wheat Thin Crust,1
7,The Unthinkable Pizza,Best Sellers,Loaded with Plant Based Protein topping along with Black Olives & Red Paprika enjoy this unique 100% Vegetarian pizza with a 100% Chicken like taste!,324,Regular,Cheese Burst,6
8,The Unthinkable Pizza,Best Sellers,Loaded with Plant Based Protein topping along with Black Olives & Red Paprika enjoy this unique 100% Vegetarian pizza with a 100% Chicken like taste!,279,Regular,Fresh Pan Pizza,3
9,Margherita,Best Sellers,A classic delight with 100% Real mozzarella cheese,399,Large,New Hand Tossed,9
10,Margherita,Best Sellers,A classic delight with 100% Real mozzarella cheese,199,Medium,New Hand Tossed,6
11,Margherita,Best Sellers,A classic delight with 100% Real mozzarella cheese,249,Medium,100% Wheat Thin Crust,5
12,Margherita,Best Sellers,A classic delight with 100% Real mozzarella cheese,298,Medium,Cheese Burst,10
13,Margherita,Best Sellers,A classic delight with 100% Real mozzarella cheese,239,Medium,Fresh Pan Pizza,7
